[RUN #0 5 200]
97 -913 310 -997 712
539 -140 186 535 -352
-201 -481 -178 337 530
66 150 288 685 65
695 258 -641 212 530
421 81 617 -373 164
-695 369 916 852 -799
714 635 529 -34 -947
-300 761 -842 614 -379
725 76 138 115 424
-343 810 412 229 140
-434 839 -261 785 -980
32 -436 626 -46 825
-256 652 -749 -635 325
469 682 -426 923 -999
[RUN #19 5 100]
-784 -844 537 -43 -201
-182 647 -549 -70 454
966 -393 -719 180 544
831 -280 876 -613 517
-664 -177 -976 -117 -376
-575 -245 551 -277 -480
529 -959 -896 482 648
815 -21 -825 -278 708
-852 782 -82 75 -182
-35 282 940 -296 -345
-643 -203 -536 -634 -746
-619 303 -751 369 816
524 751 -344 685 -698
-605 229 569 -426 972
385 700 54 -227 179
568 504 -526 338 -534
-562 -721 -737 701 248
-933 386 345 -557 984
-601 -94 -511 -160 -257
991 55 67 61 -687
1 -323 788 272 10
-54 662 -727 -752 850
-649 889 476 -948 761
615 -11 234 979 -317
71 764 -813 172 -909
-751 996 -966 828 407
-38 -761 192 802 -464
-953 -500 -612 -65 524
259 811 -265 -516 -118
-345 -779 359 851 451
20 461 54 -934 -613
28 46 656 621 -601
89 204 -103 -235 263
656 -294 -870 -560 540
982 -783 990 -871 59
-97 377 656 -784 590
694 284 41 727 439
195 958 -857 879 522
463 626 -593 29 115
990 832 -106 748 -333
-435 903 -210 -559 -501
-889 -290 -267 557 350
779 219 668 -796 254
-56 104 990 132 -350
780 103 714 854 -81
-798 -900 562 -114 39
883 -394 -413 -908 -154
-761 -411 -407 576 315
100 147 -507 827 516
918 445 516 314 201
505 -176 804 -335 -45
-226 -647 -847 800 -87
757 596 495 778 -240
-339 174 -56 -22 -995
-128 -799 110 -427 -881
-985 -528 -712 398 452
59 893 92 125 267
475 -98 255 -689 768
-87 -483 113 824 143
-63 -628 95 -843 -226
954 166 243 -362 812
869 883 765 962 -225
457 69 -947 -953 605
-952 -284 830 -508 894
86 -924 574 -920 -560
-509 -260 184 403 719
-716 -899 -885 391 487
-872 -140 -589 -706 -442
3 320 -296 535 -384
226 -973 464 542 42
101 -274 -976 153 189
564 268 972 -767 -4
864 984 -724 -748 139
94 -19 427 -736 687
-954 779 -298 -314 -212
219 -856 -144 135 -791
316 -872 -358 -689 -789
-165 119 -451 266 159
-380 262 71 -707 -138
408 198 -320 -715 -664
259 -100 757 558 -529
-632 2 -366 -541 -315
591 -320 847 750 976
-899 -217 380 678 -737
739 -379 417 915 -419
-312 -177 723 847 726
-794 -717 -837 -165 258
-852 17 -212 -713 105
422 206 520 276 -106
-493 -694 -405 291 -291
-381 172 490 -503 50
-34 -74 752 -904 107
-995 620 -588 -902 -715
-587 -680 441 -332 -804
-831 -351 75 539 -765
371 -178 528 54 -428
-471 -921 -172 642 -85
-754 -846 -379 618 -199
456 -807 523 647 894
423 32 110 -372 435
[RUN #20 3 100]
536 366 210
-644 -335 827
488 478 119
-105 38 -274
-881 -455 -148
-875 126 -151
612 -423 -256
-142 -526 -415
988 170 -443
-543 -556 598
-861 879 747
-8 400 548
750 -757 201
-652 -655 969
252 -858 621
-186 -58 332
-739 890 827
-497 280 -740
604 246 -387
-831 97 283
-822 -388 963
915 -139 433
-906 635 -200
552 210 -431
506 -49 -87
797 192 87
-804 -648 919
234 793 -837
-315 41 601
-254 -225 -298
-226 -40 453
376 -241 -435
-740 -488 -948
-746 -550 -335
-640 -521 -879
767 -177 -825
550 -665 458
852 -148 80
-34 53 996
-87 901 -383
-243 456 -375
52 159 -459
-697 -315 437
983 -564 462
-575 -674 876
-1 -892 20
486 442 -219
-814 -380 440
260 291 373
-222 -721 -916
43 -584 776
712 568 138
224 -619 872
-46 85 927
89 379 604
601 -576 -320
108 765 859
903 624 -776
-610 200 220
-311 -978 469
564 -883 58
-352 50 762
-600 -849 -503
-320 693 -279
-606 -824 476
-469 -852 968
868 -232 -163
-684 -373 -490
684 459 702
-176 919 -423
-735 955 749
-789 -354 -484
-691 -548 971
204 110 -261
252 577 87
-238 -147 -53
804 -542 250
300 436 223
-427 955 551
-974 231 666
-449 -24 -341
-912 -67 -622
-597 -347 -568
-14 -144 -277
40 -948 468
-710 -632 -638
464 353 256
-577 124 -317
-421 463 297
-588 342 -732
599 -344 -809
-678 330 508
640 748 -31
24 978 -852
702 671 -200
56 -997 497
19 -749 853
-470 -121 -284
840 -434 -491
856 498 -391
